101
333.15	83	0.0172
333.15	103	0.0172
333.15	138	0.0172
333.15	172	0.0172
333.15	193	0.0172
353.15	41	0.0172
353.15	83	0.0172
353.15	103	0.0172
353.15	138	0.0172
353.15	158	0.0172
353.15	172	0.0172
353.15	213	0.0172
353.15	94.9	0.171
353.25	99.4	0.171
353.35	41.3	0.171
353.35	60.2	0.171
353.35	60.7	0.171
353.45	40.4	0.171
353.45	80.4	0.171
353.65	80.5	0.171
333.15	41	0.172
333.15	83	0.172
333.15	138	0.172
333.15	158	0.172
333.15	172	0.172
333.15	193	0.172
353.15	41	0.172
353.15	83	0.172
353.15	138	0.172
353.15	172	0.172
353.15	213	0.172
373.15	48	1
323.1	51	1
323.1	100.3	1
323.1	143.8	1
323.2	50	1
323.2	100	1
323.15	150	1
323.2	150	1
323.2	200	1
323.2	300	1
373.1	50.7	1
373.1	104	1
373.1	191.4	1
373.2	50	1
373.2	100	1
373.2	150	1
373.15	150	1
373.2	200	1
373.2	300	1
313.31	38.44	2.5
313.31	51.37	2.5
313.31	63.73	2.5
313.31	77.89	2.5
313.31	91.29	2.5
323.15	57.39	2.5
323.15	87.3	2.5
323.15	117.73	2.5
323.15	150.2	2.5
323.15	182.11	2.5
353.07	40.82	2.5
353.07	52.21	2.5
353.07	64.7	2.5
353.07	76.79	2.5
353.07	100.61	2.5
373.15	57.42	2.5
373.15	87.89	2.5
373.15	118.67	2.5
373.15	149.21	2.5
373.15	180.13	2.5
313.38	40.27	4
313.38	59.78	4
313.38	73.78	4
313.38	81.22	4
313.38	90.61	4
323.15	150	4
323.15	59.54	4
323.15	89.53	4
323.15	120.17	4
323.15	149.59	4
323.15	179.54	4
373.15	150	4
373.15	60.68	4
373.15	89.16	4
373.15	120.03	4
373.15	149.24	4
373.15	181.62	4
323.15	150	5
323.2	50	5
323.2	100	5
323.2	150	5
323.2	200	5
323.2	300	5
373.15	150	5
373.2	50	5
373.2	100	5
373.2	150	5
373.2	200	5
373.2	300	5
323.15	150	6
373.15	150	6
